school_unique_id,schoolwide_dropout_rate,female_dropout_rate,male_dropout_rate
1440036,0.0995575221,0.07960199,0.1155378486
1440043,0.706185567,0.8,0.6161616162
1440047,0.0779220779,0.0717131474,0.0833333333
1440054,0.0158730159,0.0294117647,0
1440065,0.1714285714,0.1320754717,0.2115384615
1440079,0.0370994941,0.0358056266,0.0396039604
1440097,1,,1
1440115,0.0825892857,0.0743801653,0.0922330097
1440119,0.0976190476,0.0942408377,0.1004366812
1440122,0.0449943757,0.0416666667,0.0478170478
1440126,0.0543478261,0.0517241379,0.0567010309
1440130,0.1479591837,0.1467889908,0.1494252874
1440137,0.6444444444,0.7012987013,0.5689655172
1440151,0.0337078652,0.0576923077,0
1440176,1,1,1
1440184,0.0228658537,0.0178041543,0.0282131661
1440187,0.0501113586,0.0455445545,0.0559796438
1440191,0.04,0.04400978,0.0358056266
1440194,0.037775446,0.0372807018,0.0382293763
1440198,0.0415335463,0.0284810127,0.0548387097
1440202,0.0557491289,0.0592105263,0.0518518519
1440205,0.0207156309,0.0239726027,0.0167364017
1440209,0.047979798,0.0391304348,0.0602409639
1440212,0.0744416873,0.0639269406,0.0869565217
1440216,1,1,1
1440220,0.0769230769,0.0733944954,0.0813953488
1440223,0.0872483221,0.0837209302,0.0905172414
1440230,0.0480349345,0.0347826087,0.0614035088
1440238,0.0804878049,0.0825242718,0.0784313725
1440252,0.0973451327,0.0860215054,0.1052631579
1440263,0.1833333333,0.1153846154,0.2352941176
1440266,1,,1
1440277,0.0649651972,0.072,0.0552486188
1440306,0.0349288486,0.0311688312,0.0386597938
1440310,0.0943820225,,0.0943820225
1440313,0.1504424779,0.1504424779,
1440328,0.08,0.0683760684,0.0865384615
1440338,0.0815450644,0.0689655172,0.094017094
1440349,0.0534759358,0.0492091388,0.0578661844
1440353,0.0263157895,0.0210526316,0.0320366133
1440367,0.1198830409,,0.1198830409
1440374,0.0284605433,0.0264317181,0.0313479624
1440378,0.0830039526,,0.0830039526
1440382,0.085106383,0.0785123967,0.0929095355
1440389,0.1126760563,0.1095890411,0.115942029
1440392,0.1317567568,0.1582733813,0.1082802548
1440407,0.0971428571,0.0533333333,0.13
1440414,0.0448833034,0.0273972603,0.0641509434
1440421,0.0900900901,0.0829596413,0.0996978852
1440425,0.0682539683,0.0482954545,0.0935251799
1440428,0.0678571429,0.05625,0.0833333333
1440436,0.0724637681,0.0803571429,0.0631578947
1440443,0.3033333333,0.3172413793,0.2903225806
1440446,0.2953736655,0.2925170068,0.2985074627
1440450,0.3345323741,0.3170731707,0.3483870968
1440454,0.448,0.4351145038,0.4621848739
1440457,0.2227488152,0.2519685039,0.1785714286
1440461,0.2992125984,0.305785124,0.2932330827
1440464,0.3639846743,0.2993197279,0.4473684211
1440468,0.3551724138,0.322147651,0.390070922
1440472,0.2426778243,0.2272727273,0.261682243
